Session,,,,,,Presentation,,,,Speakers and Authors,,,,Content,,,,,Misc.,,
"Session Title
(required)","Session Start
(UTC)","Session Duration
(minutes)","Session Abstract
(optional)","Chair Names
(required)","Chair Emails
(required)","Title
(required)","Type
(open cell dropdown for options)
(required)","Duration
(minutes)
(optional)","Abstract
(optional)","Speaker Names
(separate with semi-colons)
(required)","Speaker Emails
(separate with semi-colons, same order as names)
(required)","Speaker Affiliations
(separate with semi-colons, same order as names)
(required)","Other Authors (non-speakers)
(separate with semi-colons)
(optional)","Editable abstract?
(Can speakers edit their abstract)",Video upload?,Slides upload?,Image/poster upload?,Website link?,"Interaction Mode
(default: video chat up to 250 people)
(optional)","Room Name for Session
(optional)","Tags
(separate by semicolons)
(optional)"
My awesome first session!,2021/01/01 13:00,90 ,,Ed Nutting,support+template@midspace.app,Introduction,Presentation,10 ,,Ed Nutting; Cristal Mojica,support+template1@midspace.app; support+template2@midspace.app,Midspace; Midspace,,No,Request upload from speaker,Request upload from speaker,Do not request upload,Do not request upload,,,
,,,,,,Why virtual sessions are great,Keynote,60 ,,Ed Nutting,support+template1@midspace.app; support+template2@midspace.app,Midspace,Crista Lopes,Yes,Request upload from speaker,Request upload from speaker,Do not request upload,Do not request upload,,,Keynotes
,,,,,,Using Midspace,Tutorial,10 ,,Cristal Mojica,support+template1@midspace.app; support+template2@midspace.app,Midspace,,No,Request upload from speaker,Do not request upload,Do not request upload,Request upload from speaker,,,Midspace Tutorial
,,,,,,Q&A,Session Q&A,20 ,,Ed Nutting; Cristal Mojica,support+template1@midspace.app; support+template2@midspace.app,Midspace; Midspace,,No,Do not request upload,Do not request upload,Do not request upload,Do not request upload,,,
The ultimate second session!,2021/01/01 15:00,60 ,,Benjamin Pierce,support+template@midspace.app,Presentation #1,Presentation,10 ,,Person A,personA@example.org,A1,,Yes,Request upload from speaker,Request upload from speaker,Do not request upload,Do not request upload,,,Topic 1
,,,,,,Presentation #2,Presentation,10 ,,Person B,personB@example.org,A2,,Yes,Request upload from speaker,Request upload from speaker,Do not request upload,Do not request upload,,,Topic 1; Topic 2
,,,,,,Presentation #3,Presentation,10 ,,Person C; Person D,personC@example.org; personD@example.org,A3; A4,,Yes,Request upload from speaker,Request upload from speaker,Do not request upload,Do not request upload,,,Topic 1; Topic 3
,,,,,,Presentation #4,Presentation,10 ,,Person E,personE@example.org,A5,Person F,Yes,Request upload from speaker,Request upload from speaker,Do not request upload,Do not request upload,,,Topic 2
,,,,,,Q&A,Session Q&A,20 ,,Person A; Person B; Person C; Person E,personA@example.org; personB@example.org; personC@example.org; personE@example.org,A1; A2; A3; A5,,No,Do not request upload,Do not request upload,Do not request upload,Do not request upload,,,Topic 1; Q&As
Keynote,2021/01/01 15:00,60 ,,Cristal Mojica,support+template@midspace.app,Introduction,Other,5 ,,,,,,,,,,,,,
